date,amount,phase,containment,zone,plume_group,region
2080-01-01,296263.79113160283,total,total,topvolon,all,all
2100-01-01,333472.38099064404,total,total,topvolon,all,all
2120-01-01,373584.4372178818,total,total,topvolon,all,all
2140-01-01,416700.5677508984,total,total,topvolon,all,all
2160-01-01,462907.00392782624,total,total,topvolon,all,all
2180-01-01,512286.9274771511,total,total,topvolon,all,all
2200-01-01,564914.9174748719,total,total,topvolon,all,all
2020-01-01,8609.21099450995,dissolved_water,total,topvolon,all,all
2040-01-01,9866.394834315115,dissolved_water,total,topvolon,all,all
2060-01-01,11230.778055256855,dissolved_water,total,topvolon,all,all
2080-01-01,12707.822005714072,dissolved_water,total,topvolon,all,all
2100-01-01,14303.832558357926,dissolved_water,total,topvolon,all,all
2120-01-01,16024.383250266486,dissolved_water,total,topvolon,all,all
2140-01-01,17873.78951856514,dissolved_water,total,topvolon,all,all
2160-01-01,19855.75013620253,dissolved_water,total,topvolon,all,all
2180-01-01,21973.833067375992,dissolved_water,total,topvolon,all,all
2200-01-01,24231.237277505916,dissolved_water,total,topvolon,all,all
2020-01-01,192101.61787439603,gas,total,topvolon,all,all
2040-01-01,220153.78778243123,gas,total,topvolon,all,all
2060-01-01,250597.95093637504,gas,total,topvolon,all,all
2080-01-01,283555.9691258888,gas,total,topvolon,all,all
2100-01-01,319168.54843228613,gas,total,topvolon,all,all
2120-01-01,357560.0539676153,gas,total,topvolon,all,all
2140-01-01,398826.7782323333,gas,total,topvolon,all,all
2160-01-01,443051.2537916237,gas,total,topvolon,all,all
2180-01-01,490313.0944097751,gas,total,topvolon,all,all
2200-01-01,540683.6801973659,gas,total,topvolon,all,all
2020-01-01,200710.82886890598,total,contained,topvolon,all,all
2040-01-01,230020.18261674634,total,contained,topvolon,all,all
2060-01-01,261828.72899163188,total,contained,topvolon,all,all
2080-01-01,296263.79113160283,total,contained,topvolon,all,all
2100-01-01,333472.38099064404,total,contained,topvolon,all,all
2120-01-01,373584.4372178818,total,contained,topvolon,all,all
2140-01-01,416700.5677508984,total,contained,topvolon,all,all
2160-01-01,462907.00392782624,total,contained,topvolon,all,all
2180-01-01,512286.927477151,total,contained,topvolon,all,all
2200-01-01,564914.9174748712,total,contained,topvolon,all,all
2020-01-01,8609.21099450995,dissolved_water,contained,topvolon,all,all
2040-01-01,9866.394834315115,dissolved_water,contained,topvolon,all,all
2060-01-01,11230.778055256855,dissolved_water,contained,topvolon,all,all
2080-01-01,12707.822005714072,dissolved_water,contained,topvolon,all,all
2100-01-01,14303.832558357926,dissolved_water,contained,topvolon,all,all
2120-01-01,16024.383250266486,dissolved_water,contained,topvolon,all,all
2140-01-01,17873.78951856514,dissolved_water,contained,topvolon,all,all
2160-01-01,19855.75013620253,dissolved_water,contained,topvolon,all,all
2180-01-01,21973.83306737599,dissolved_water,contained,topvolon,all,all
2200-01-01,24231.237277505898,dissolved_water,contained,topvolon,all,all
2020-01-01,192101.61787439603,gas,contained,topvolon,all,all
2040-01-01,220153.78778243123,gas,contained,topvolon,all,all
2060-01-01,250597.95093637504,gas,contained,topvolon,all,all
2080-01-01,283555.9691258888,gas,contained,topvolon,all,all
2100-01-01,319168.54843228613,gas,contained,topvolon,all,all
2120-01-01,357560.0539676153,gas,contained,topvolon,all,all
2140-01-01,398826.7782323333,gas,contained,topvolon,all,all
2160-01-01,443051.2537916237,gas,contained,topvolon,all,all
2180-01-01,490313.094409775,gas,contained,topvolon,all,all
2200-01-01,540683.6801973652,gas,contained,topvolon,all,all
2020-01-01,0.0,total,hazardous,topvolon,all,all
2040-01-01,0.0,total,hazardous,topvolon,all,all
2060-01-01,0.0,total,hazardous,topvolon,all,all
2080-01-01,0.0,total,hazardous,topvolon,all,all
2100-01-01,0.0,total,hazardous,topvolon,all,all
2120-01-01,0.0,total,hazardous,topvolon,all,all
2140-01-01,0.0,total,hazardous,topvolon,all,all
2160-01-01,0.0,total,hazardous,topvolon,all,all
2180-01-01,0.0,total,hazardous,topvolon,all,all
2200-01-01,0.0,total,hazardous,topvolon,all,all
2020-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2040-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2060-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2080-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2100-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2120-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2140-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2160-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2180-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2200-01-01,0.0,dissolved_water,hazardous,topvolon,all,all
2020-01-01,0.0,gas,hazardous,topvolon,all,all
2040-01-01,0.0,gas,hazardous,topvolon,all,all
2060-01-01,0.0,gas,hazardous,topvolon,all,all
2080-01-01,0.0,gas,hazardous,topvolon,all,all
2100-01-01,0.0,gas,hazardous,topvolon,all,all
2120-01-01,0.0,gas,hazardous,topvolon,all,all
2140-01-01,0.0,gas,hazardous,topvolon,all,all
2160-01-01,0.0,gas,hazardous,topvolon,all,all
2180-01-01,0.0,gas,hazardous,topvolon,all,all
2200-01-01,0.0,gas,hazardous,topvolon,all,all
2020-01-01,0.0,total,outside,topvolon,all,all
2040-01-01,0.0,total,outside,topvolon,all,all
2060-01-01,0.0,total,outside,topvolon,all,all
2080-01-01,0.0,total,outside,topvolon,all,all
2100-01-01,0.0,total,outside,topvolon,all,all
2120-01-01,0.0,total,outside,topvolon,all,all
2140-01-01,0.0,total,outside,topvolon,all,all
2160-01-01,1.1098299665496888e-11,total,outside,topvolon,all,all
2180-01-01,1.0612716599933084e-10,total,outside,topvolon,all,all
2200-01-01,6.635320981770202e-10,total,outside,topvolon,all,all
2020-01-01,0.0,dissolved_water,outside,topvolon,all,all
2040-01-01,0.0,dissolved_water,outside,topvolon,all,all
